Photo tpsDig: Phyllo - ventral - final;Species;Sex;ID
1;Ametrida_centurio;Female;M-187225
2;Ametrida_centurio;Male;M-187224
3;Ametrida_centurio;Female;M-267274
4;Anoura_caudifer;Female;M-78789
5;Anoura_caudifer;Male;M-78790
6;Anoura_caudifer;Male;M-78792
7;Anoura_cultrata;Female;M-233253
8;Anoura_cultrata;Female;M-233254
9;Anoura_cultrata;Female;M-233263
10;Anoura_cultrata;Female;M-233262
11;Anoura_geoffroyi;Male;M-78304
12;Anoura_geoffroyi;Male;M-78305
13;Anoura_geoffroyi;Male;M-78306
14;Anoura_geoffroyi;Male;M-78308
15;Anoura_latidens;Female;M-264604
16;Anoura_latidens;Female;M-264601
17;Anoura_latidens;Female;M-230218
18;Anoura_latidens;Female;M-261230
19;Artibeus_amplus;Female;M-185366
20;Artibeus_inopinatus;Female;M-238297
21;Artibeus_hirsutus;Male;M-188750
22;Artibeus_fraterculus;Female;M-47246
23;Artibeus_fraterculus;Female;M-47243
24;Artibeus_fraterculus;Female;M-47247
25;Artibeus_jamaicensis;Male;M-62933
26;Artibeus_jamaicensis;Male;M-64543
27;Artibeus_jamaicensis;Male;M-64542
28;Artibeus_obscurus;Female;M-263471
29;Artibeus_obscurus;Male;M-264689
30;Artibeus_obscurus;Male;M-264686
31;Artibeus_obscurus;Male;M-264685
32;Brachyphylla_cavernarum;Female;M-213900
33;Brachyphylla_cavernarum;Female;M-213898
34;Brachyphylla_cavernarum;Female;M-208181
35;Brachyphylla_nana;Male;M-214393
36;Brachyphylla_nana;Male;M-97585
37;Brachyphylla_nana;Male;M-97582
38;Carollia_brevicauda;Female;M-32773
39;Carollia_brevicauda;Female;M-32772
40;Carollia_brevicauda;Female;M-32770
41;Carollia_brevicauda;Female;M-32758
42;Carollia_castanea;Male;M-246548
43;Carollia_castanea;Female;M-248808
44;Carollia_castanea;Female;M-248786
45;Carollia_castanea;Female;M-248796
46;Carollia_perspicillata;Male;M-248014
47;Carollia_perspicillata;Female;M-248019
48;Carollia_perspicillata;Male;M-248017
49;Carollia_perspicillata;Female;M-248018
50;Centurio_senex;Male;M-175651
51;Centurio_senex;Male;M-175650
52;Centurio_senex;Male;M-183862
53;Centurio_senex;Male;M-179991
54;Carollia_subrufa;Unkown;M-164023
55;Carollia_subrufa;Unkown;M-164024
56;Carollia_subrufa;Male;M-149963
57;Carollia_subrufa;Male;M-146150
58;Carollia_sowelli;Female;M-189727
59;Carollia_sowelli;Female;M-189728
60;Carollia_sowelli;Female;M-189732
61;Chiroderma_salvini;Female;M-126257
62;Chiroderma_salvini;Male;M-126256
63;Chiroderma_salvini;Male;M-126255
64;Chiroderma_salvini;Female;M-126254
65;Chrotopterus_auritus;Female;M-279495
66;Chrotopterus_auritus;Male;M-279430
67;Choeronycteris_mexicana;Female;M-27306
68;Choeronycteris_mexicana;Female;M-27319
69;Choeronycteris_mexicana;Male;M-27308
70;Choeronycteris_mexicana;Female;M-27309
71;Choeroniscus_godmani;Male;M-208869
72;Choeroniscus_godmani;Male;M-172779
73;Choeroniscus_godmani;Male;M-172778
74;Chiroderma_trinitatum;Female;M-266255
75;Chiroderma_trinitatum;Male;M-269118
76;Chiroderma_trinitatum;Male;M-268532
77;Chiroderma_trinitatum;Male;M-266256
78;Chiroderma_villosum;Female;M-209524
79;Chiroderma_villosum;Female;M-209525
80;Chiroderma_villosum;Female;M-209526
81;Chiroderma_villosum;Male;M-209523
82;Desmodus_rotundus;Male;M-279428
83;Desmodus_rotundus;Female;M-279427
84;Desmodus_rotundus;Female;M-279423
85;Choeroniscus_minor;Male;M-67626
86;Choeroniscus_minor;Female;M-140471
87;Diaemus_youngi;Female;M-209742
88;Diaemus_youngi;Male;M-209744
89;Diaemus_youngi;Male;M-209745
90;Diaemus_youngi;Male;M-209746
91;Diphylla_ecaudata;Male;M-165640
92;Diphylla_ecaudata;Male;M-129041
93;Diphylla_ecaudata;Male;M-126464
94;Diphylla_ecaudata;Male;M-126465
95;Enchisthenes_hartii;Female;M-233753
96;Enchisthenes_hartii;Male;M-233599
97;Enchisthenes_hartii;Male;M-233603
98;Enchisthenes_hartii;Male;M-233791
99;Erophylla_bombifrons;Female;M-39341
100;Erophylla_bombifrons;Male;M-39339
101;Erophylla_bombifrons;Female;M-39345
