Longitude_(X_Centroid)	Latitude_(Y_Centroid)	ID	LONG	LAT	PROPOVER4	Species_Richness_(228)	Mean_Size	Median_Size	Mean_Size(log)	Median_Size(log)	PC1_Ventral_mean_shape	PC2_Ventral_mean_shape	PC3_Ventral_mean_shape	PC4_Ventral_mean_shape	PC5_Ventral_mean_shape	PC1_Ventral_median_shape	PC2_Ventral_median_shape	PC3_Ventral_median_shape	PC4_Ventral_median_shape	PC5_Ventral_median_shape	PC1_Lateral_mean_shape	PC2_Lateral_mean_shape	PC3_Lateral_mean_shape	PC4_Lateral_mean_shape	PC5_Lateral_mean_shape	PC1_Lateral_median_shape	PC2_Lateral_median_shape	PC3_Lateral_median_shape	PC4_Lateral_median_shape	PC5_Lateral_median_shape	PC1_Mandibula_mean_shape	PC2_Mandibula_mean_shape	PC3_Mandibula_mean_shape	PC4_Mandibula_mean_shape	PC5_Mandibula_mean_shape	PC1_Mandibula_median_shape	PC2_Mandibula_median_shape	PC3_Mandibula_median_shape	PC4_Mandibula_median_shape	PC5_Mandibula_median_shape	Mean_alt	Range_alt	Mean_bio1	Mean_bio2	Mean_bio3	Mean_bio4	Mean_bio5	Mean_bio6	Mean_bio7	Mean_bio8	Mean_bio9	Mean_bio10	Mean_bio11	Mean_bio12	Mean_bio13	Mean_bio14	Mean_bio15	Mean_bio16	Mean_bio17	Mean_bio18	Mean_bio19	Mean_NDVI	Mean_LandCover	Mean_NET_Productivity	Mean_Topography	Mean_AET	pcps.1	pcps.2	pcps.3	pcps.4	pcps.5	Shape_sizecorr_v_PC1	Shape_sizecorr_v_PC2	Shape_sizecorr_v_PC3	Shape_sizecorr_v_PC4	Shape_sizecorr_v_PC5	Shape_sizecorr_l_PC1	Shape_sizecorr_l_PC2	Shape_sizecorr_l_PC3	Shape_sizecorr_l_PC4	Shape_sizecorr_l_PC5	Shape_sizecorr_m_PC1	Shape_sizecorr_m_PC2	Shape_sizecorr_m_PC3	Shape_sizecorr_m_PC4	Shape_sizecorr_m_PC5	Log(Species_Richness_(228))	Shape_Disparity_Ventral	Shape_Redundancy_Ventral	Shape_Disparity_Lateral	Shape_Disparity_Mandible	Mean_Shape_Disparityx3	Regression_Estimated	Regression_Residuals	col225	media	sd	mediana	min	max	range	Disp_Ventral_Average	SIZE_DISPARITY	SES.SIZE.DISPARITY	SES.SHAPE.VENTRAL	mpd	ses.mpd	sesMPD	sesDISPbrown	sesDISPearly	sesDISPornUhl	sesDISPearly_EXP1.5	sesDISPornUhl_alpha10	SES_DISPAR_SHAPE_INTRA	SES_DISPAR_BROWN	SES_DISPAR_EB_sig1	SES.DISPAR.BROWN	SES.DISPAR.EB	DISP_BROWN_MEAN_100	DISP_EB_MEAN_100	SES.DISPAR.OU	SES_dispar_BM	SES_dispar_EB	SES_dispar_OU	RESULTADOS_BM	RESULTADOS_EB	RESULTADOS_OU	Shape_Ventral_Disp	Shape_Mand_Disparity	RESULTADOS_BM_sig0.5	RESULTADOS_EB_sig0.5	RESULTADOS_OU_sig0.5	RESULTADOS_BM_sig0.2	RESULTADOS_EB_sig0.2_b0.1	RESULTADOS_OU_sig0.2	RESULTADOS_BM_sig0.2	RESULTADOS_EB_sig0.2_bneg0.5	RESULTADOS_OU_sig0.2	RESULTADOS_BM_sig1	RESULTADOS_EB_sig1_bneg0.1	RESULTADOS_OU_sig1	rao.obs	mean.rao.NULO	sd.rao.NULO	mean.rao.BM	sd.rao.BM	SES_BM	mean.rao.EB	sd.rao.EB	SES_EB	mean.rao.OU	sd.rao.OU	SES_OU	SES_NULO	SES_NULO_BM	SES_NULO_EB	SES_NULO_OU	SES_MPD	MPD_OBS
-70.275	-54.815	318	-70.28	-54.87	0.544	6	4.37	4.029	1.465	1.394	0.033	0.015	-0.005	-0.004	0.006	0.033	0.02	-0.006	-0.007	0.007	0.034	0.029	-0.001	0	-0.006	0.034	-0.033	0.004	0.002	-0.001	-0.015	-0.034	-0.003	-0.012	0.005	-0.011	-0.036	-0.004	-0.009	0.006	297.222	1010	41.75	67.778	50.056	2463.694	115.389	-19.028	134.417	47.361	39.611	72.667	9.472	1150.167	122.306	74.444	12.861	338.5	246.5	288.111	277.167	77.62	9	80.96	94.414	45.01	0.074	-0.009	-0.199	-0.037	0.042	0.008	-0.014	-0.003	-0.001	0.005	-0.007	-0.016	-0.001	0.009	0.006	0.003	-0.015	0.006	0.011	0.007	0.778	0.002	0.489	0.003	0.004	0.003	0.002	0.001	0.001758516	0.002022177	0.000126976	0.002048565	0.00182023	0.002215359	0.000395129	0.001758516	0.442455695	-0.505629402	-0.260894603	12.77351093	-0.786649252	-24.48814029	0.209429045	0.005909883	0.256723763	0.010968674	0.266644167	0.41978204	0.071413664	0.405235309	0.10126828	-0.229239733	0.068399161	0.666675961	-0.021084487	-1.304030673	-1.539846798	-1.561656748	0.000742854	0.001214073	5.12E-05	0.001758516	0.003833057	0.002529928	40612299.37	0.000473206	0.000802937	0.023428856	7.88E-05	7.67E-06	2.87E-06	4.13E-06	0.000865566	0.000119292	2.01E-05	0.34526561	0.36054854	0.024728398	0.301522212	0.080881416	0.540833727	0.255634502	0.09126232	0.479314985	0.330252263	0.068261236	0.640823405	-0.618031569	-2.386985559	-4.242654135	-1.225161381	-2.483388661	12.77351093
-69.275	-54.873	319	-69.28	-54.87	0.789	7	4.494	4.056	1.492	1.4	0.034	0.01	-0.006	-0.006	0.002	0.033	0.017	-0.008	-0.008	0.006	0.03	0.024	0	0.005	-0.007	0.031	-0.024	0.003	-0.007	-0.004	-0.017	-0.031	0.005	-0.011	0.005	-0.015	-0.029	-0.01	-0.004	0	496.056	936	31.528	73.361	51.111	2606.389	108.861	-33.611	142.472	35.722	22.667	63.833	-3	882.611	93.25	54.75	13.278	258.083	184.583	224.5	213.972	98.37	9	85.54	60.7	37.79	0.079	0.056	-0.179	-0.045	0.061	0.013	-0.012	-0.006	0	0.002	-0.006	-0.012	-0.006	0.004	0.007	0	-0.015	-0.002	0.013	0.008	0.845	0.002	0.488	0.003	0.004	0.003	0.002	0.001	0.001904616	0.002237629	0.000130018	0.00224178	0.002062831	0.00243503	0.000372199	0.001904616	0.471468318	-0.36493805	-0.191901133	14.42842957	-0.716999797	-21.97323482	0.570644166	0.001030363	0.546185677	0.015024472	0.580399913	0.641474969	-0.861018421	-0.502392667	-0.321976826	-0.34586215	0.064769592	0.652342546	-0.177334849	-1.538347482	-1.853539046	-1.625149724	0.000704719	0.001053067	6.73E-05	0.001904616	0.003944141	0.002506743	37191551.14	0.000410142	0.000690432	0.020660688	0.00013543	8.92E-06	3.28E-06	4.52E-06	0.000955816	0.000103747	1.76E-05	0.369926322	0.370867086	0.023178684	0.329798984	0.073876042	0.543171205	0.291469233	0.085279647	0.470538283	0.346706435	0.063803587	0.628919799	-0.040587462	-1.771804731	-3.425468509	-1.042365081	-1.826043285	14.42842957
-68.275	-54.873	320	-68.28	-54.87	0.773	7	4.494	4.056	1.492	1.4	0.034	0.01	-0.006	-0.006	0.002	0.033	0.017	-0.008	-0.008	0.006	0.03	0.024	0	0.005	-0.007	0.031	-0.024	0.003	-0.007	-0.004	-0.017	-0.031	0.005	-0.011	0.005	-0.015	-0.029	-0.01	-0.004	0	368.222	610	37.611	77.861	51.417	2772.639	118.75	-31.333	150.083	38.333	21.444	71.722	0.611	670.611	67.167	39.889	14.639	192.25	132.444	173.417	163.583	167.41	8	143.82	83.79	36.212	0.079	0.056	-0.179	-0.045	0.061	0.013	-0.012	-0.006	0	0.002	-0.006	-0.012	-0.006	0.004	0.007	0	-0.015	-0.002	0.013	0.008	0.845	0.002	0.488	0.003	0.004	0.003	0.002	0.001	0.001904616	0.002237629	0.000130018	0.00224178	0.002062831	0.00243503	0.000372199	0.001904616	0.471468318	-0.462676392	-0.074574142	14.42842957	-0.774030214	-21.97323482	0.570644166	0.001030363	0.546185677	0.015024472	0.580399913	0.579509915	-0.305530176	-0.398220867	-0.230323309	0.028343055	0.064944286	0.714067735	0.04231216	-1.724869896	-1.606535363	-1.509111416	0.000704719	0.001053067	6.73E-05	0.001904616	0.003944141	0.002506743	37191551.14	0.000410142	0.000690432	0.020660688	0.00013543	8.92E-06	3.28E-06	4.52E-06	0.000955816	0.000103747	1.76E-05	0.369926322	0.370867086	0.023178684	0.329798984	0.073876042	0.543171205	0.291469233	0.085279647	0.470538283	0.346706435	0.063803587	0.628919799	-0.040587462	-1.771804731	-3.425468509	-1.042365081	-1.826043285	14.42842957
-67.275	-54.861	321	-67.28	-54.87	0.78	7	4.494	4.056	1.492	1.4	0.034	0.01	-0.006	-0.006	0.002	0.033	0.017	-0.008	-0.008	0.006	0.03	0.024	0	0.005	-0.007	0.031	-0.024	0.003	-0.007	-0.004	-0.017	-0.031	0.005	-0.011	0.005	-0.015	-0.029	-0.01	-0.004	0	241.25	425	44.417	80.194	50.806	2900.056	128.639	-27.444	156.083	54.083	30.333	80.472	5.889	492.75	49.889	28.972	16.472	142.806	96.611	137.917	113.889	190.39	8	173.1	99.18	38.734	0.079	0.056	-0.179	-0.045	0.061	0.013	-0.012	-0.006	0	0.002	-0.006	-0.012	-0.006	0.004	0.007	0	-0.015	-0.002	0.013	0.008	0.845	0.002	0.488	0.003	0.004	0.003	0.002	0.001	0.001904616	0.002237629	0.000130018	0.00224178	0.002062831	0.00243503	0.000372199	0.001904616	0.471468318	-0.516738713	-0.259201693	14.42842957	-0.755841292	-21.97323482	0.570644166	0.001030363	0.546185677	0.015024472	0.580399913	0.711121093	0.302602821	-0.179811907	-0.238706183	-0.341982782	0.065542254	0.619570868	0.2328075	-1.633456013	-1.572837206	-1.818313885	0.000704719	0.001053067	6.73E-05	0.001904616	0.003944141	0.002506743	37191551.14	0.000410142	0.000690432	0.020660688	0.00013543	8.92E-06	3.28E-06	4.52E-06	0.000955816	0.000103747	1.76E-05	0.369926322	0.370867086	0.023178684	0.329798984	0.073876042	0.543171205	0.291469233	0.085279647	0.470538283	0.346706435	0.063803587	0.628919799	-0.040587462	-1.771804731	-3.425468509	-1.042365081	-1.826043285	14.42842957
-66.275	-54.836	322	-66.28	-54.87	0.483	6	4.275	4.029	1.447	1.394	0.034	0.018	-0.007	-0.007	0.005	0.034	0.023	-0.009	-0.008	0.007	0.028	0.031	-0.001	-0.001	-0.008	0.028	-0.032	0.004	0	-0.005	-0.016	-0.035	0.001	-0.009	-0.002	-0.012	-0.035	-0.006	-0.004	0.003	149.964	400	47.571	80.536	50.714	2926.929	131.786	-25.357	157.143	69.786	29.393	84	8.714	476.679	50.786	27.321	19.393	143.786	90.036	139.929	104.929	213.92	8	202.23	145.65	41.615	0.071	-0.011	-0.207	-0.038	0.042	0.008	-0.019	-0.007	-0.002	0.006	-0.001	-0.017	0	0.009	0.007	0.003	-0.018	0.001	0.009	-0.002	0.778	0.001	0.502	0.003	0.003	0.002	0.002	0.001	0.001376377	0.001715977	0.000118069	0.001707399	0.001543853	0.001949226	0.000405373	0.001376377	0.215719981	-0.863949809	-1.12257338	14.42842957	-0.734440681	-26.32126182	0.631038603	-0.007284682	0.686358876	0.024153074	0.674305933	-0.423616457	-0.442501903	-0.698214479	-0.128786962	0.028961365	0.061768759	0.741812642	-0.244742627	-1.650241099	-1.427299779	-1.440522731	0.000394409	0.00067451	7.80E-05	0.001376377	0.003286758	0.001452866	42193326.62	0.000447593	0.000722301	0.008349086	0.000156698	6.75E-06	7.41E-07	4.06E-06	0.00076706	0.000111964	1.95E-05	0.332178151	0.360953091	0.024609668	0.329798984	0.073876042	0.032204857	0.291469233	0.085279647	0.02789842	0.346706435	0.063803587	0.037288929	-1.169253462	-1.265929587	-2.823437413	-0.578904826	-1.826043285	14.42842957
-72.275	-53.873	405	-72.28	-53.87	0.615	8	4.374	4.126	1.47	1.417	0.034	0.017	-0.01	-0.009	0.007	0.034	0.02	-0.011	-0.009	0.007	0.027	0.027	0.003	0	-0.003	0.028	-0.029	0.008	0.001	-0.002	-0.025	-0.033	0	-0.005	-0.002	-0.022	-0.034	-0.004	0	0.004	235.611	557	49.833	66.083	47.25	2578.167	125.889	-12.528	138.417	66.833	26.056	82.278	15.75	1680.528	175.333	126.472	10.056	480.028	385.5	427.306	387.361	127.95	8	91.91	63.848	45.389	0.064	0.004	-0.257	-0.041	0.038	0.01	-0.021	-0.008	-0.005	0.007	-0.003	-0.017	-0.001	0.008	0.003	-0.008	-0.02	0.002	0.004	-0.005	0.903	0.002	0.514	0.003	0.004	0.003	0.002	0.001	0.001627678	0.002027493	0.000152658	0.001975472	0.00182022	0.002304416	0.000484196	0.001627678	0.246919674	-1.078006532	-0.981005726	14.7861589	-0.824182975	-25.03137883	0.562946438	-0.002170375	0.581359999	0.004073221	0.541613414	-0.080120003	-0.545108678	-0.015684263	-0.181331636	-0.127977125	0.074225159	0.736546856	0.195279034	-1.752497666	-1.619015012	-2.031501014	0.000366279	0.000531184	8.59E-05	0.001627678	0.003686124	0.001434788	34156696.71	0.000401895	0.000688054	0.008935477	0.0001217	0.000154294	7.15E-06	3.54E-06	0.000669811	0.000165443	1.62E-05	0.360886873	0.378770742	0.021739646	0.353932621	0.064299788	0.108153577	0.30947664	0.077370519	0.089882453	0.366303171	0.056273293	0.123579974	-0.822638502	-1.142526516	-3.187453145	-0.573494674	-1.93170659	14.7861589
-71.275	-53.873	406	-71.28	-53.87	0.631	9	4.533	4.197	1.502	1.434	0.033	0.011	-0.009	-0.008	0.004	0.033	0.015	-0.009	-0.008	0.007	0.028	0.022	0.003	0.005	-0.003	0.029	-0.022	0.006	-0.008	-0.002	-0.024	-0.03	0.004	-0.008	0.003	-0.018	-0.028	-0.009	-0.001	0.002	250.528	400	49.278	67.25	47.417	2612.889	127.917	-12.222	140.139	50.333	37.389	82.583	15.083	1027.889	107.222	72.778	11.694	301.944	227.944	256.806	240.389	163.31	7	148.51	92.98	42.823	0.072	0.056	-0.24	-0.049	0.058	0.015	-0.017	-0.006	-0.005	0.004	-0.009	-0.015	-0.005	0.007	0.003	-0.011	-0.019	0	0.006	0.003	0.954	0.002	0.504	0.004	0.004	0.003	0.002	0.001	0.002003929	0.002396954	0.000132552	0.002349119	0.002259283	0.002588934	0.000329651	0.002003929	0.421776751	-0.647314117	-0.005030103	14.7861589	-0.836980693	-22.06851274	0.648038559	0.001006345	0.640758931	-0.003188067	0.666566669	0.795436221	-0.520141686	-0.586992924	-0.240405755	-0.288820561	0.072850009	0.707324055	0.199495527	-1.539133346	-1.649705763	-2.069351608	0.000659288	0.000849532	7.65E-05	0.002003929	0.004221244	0.002113411	31618006.03	0.000383117	0.00065253	0.016973101	0.000109237	0.00013753	8.36E-06	4.21E-06	0.000889432	0.000149545	1.48E-05	0.385303663	0.384511675	0.020919776	0.353932621	0.064299788	0.487887181	0.30947664	0.077370519	0.40546506	0.366303171	0.056273293	0.557476572	0.037858352	-1.461729503	-3.586799096	-0.870396667	-1.93170659	14.7861589
-70.275	-53.873	407	-70.28	-53.87	0.444	9	4.533	4.197	1.502	1.434	0.033	0.011	-0.009	-0.008	0.004	0.033	0.015	-0.009	-0.008	0.007	0.028	0.022	0.003	0.005	-0.003	0.029	-0.022	0.006	-0.008	-0.002	-0.024	-0.03	0.004	-0.008	0.003	-0.018	-0.028	-0.009	-0.001	0.002	174.613	396	53.097	68.452	48.161	2647.839	132.194	-8.548	140.742	54.129	51.355	86.742	18.677	787.419	81.677	45.161	16	238.355	156.355	195.613	197.097	182.45	7	181.68	126.98	44.407	0.072	0.056	-0.24	-0.049	0.058	0.015	-0.017	-0.006	-0.005	0.004	-0.009	-0.015	-0.005	0.007	0.003	-0.011	-0.019	0	0.006	0.003	0.954	0.002	0.504	0.004	0.004	0.003	0.002	0.001	0.002003929	0.002396954	0.000132552	0.002349119	0.002259283	0.002588934	0.000329651	0.002003929	0.421776751	-0.664343816	0.004096172	14.7861589	-0.870568335	-22.06851274	0.648038559	0.001006345	0.640758931	-0.003188067	0.666566669	0.737520942	-0.499212724	1.228969719	-0.098387205	-0.039347116	0.071200492	0.801873101	-0.183905484	-1.414235407	-1.617683015	-2.158571432	0.000659288	0.000849532	7.65E-05	0.002003929	0.004221244	0.002113411	31618006.03	0.000383117	0.00065253	0.016973101	0.000109237	0.00013753	8.36E-06	4.21E-06	0.000889432	0.000149545	1.48E-05	0.385303663	0.384511675	0.020919776	0.353932621	0.064299788	0.487887181	0.30947664	0.077370519	0.40546506	0.366303171	0.056273293	0.557476572	0.037858352	-1.461729503	-3.586799096	-0.870396667	-1.93170659	14.7861589
-69.275	-53.873	408	-69.28	-53.87	0.858	7	4.494	4.056	1.492	1.4	0.034	0.01	-0.006	-0.006	0.002	0.033	0.017	-0.008	-0.008	0.006	0.03	0.024	0	0.005	-0.007	0.031	-0.024	0.003	-0.007	-0.004	-0.017	-0.031	0.005	-0.011	0.005	-0.015	-0.029	-0.01	-0.004	0	230.306	462	50.083	72.194	48.583	2798.361	132.25	-14.944	147.194	51.083	48.75	85.389	13.667	548.639	56.472	30.056	16.667	163.472	105.222	143.972	135.972	186.98	9	163.15	69.94	40.794	0.079	0.056	-0.179	-0.045	0.061	0.013	-0.012	-0.006	0	0.002	-0.006	-0.012	-0.006	0.004	0.007	0	-0.015	-0.002	0.013	0.008	0.845	0.002	0.488	0.003	0.004	0.003	0.002	0.001	0.001904616	0.002237629	0.000130018	0.00224178	0.002062831	0.00243503	0.000372199	0.001904616	0.471468318	-0.395689759	-0.004806739	14.42842957	-0.7282386	-21.97323482	0.570644166	0.001030363	0.546185677	0.015024472	0.580399913	0.664449222	-0.796849103	-0.154000373	-0.248696251	-0.046105271	0.065822759	0.720600718	0.179668526	-1.59417577	-1.535489847	-1.461148899	0.000704719	0.001053067	6.73E-05	0.001904616	0.003944141	0.002506743	37191551.14	0.000410142	0.000690432	0.020660688	0.00013543	8.92E-06	3.28E-06	4.52E-06	0.000955816	0.000103747	1.76E-05	0.369926322	0.370867086	0.023178684	0.329798984	0.073876042	0.543171205	0.291469233	0.085279647	0.470538283	0.346706435	0.063803587	0.628919799	-0.040587462	-1.771804731	-3.425468509	-1.042365081	-1.826043285	14.42842957
-68.275	-53.873	409	-68.28	-53.87	0.924	7	4.494	4.056	1.492	1.4	0.034	0.01	-0.006	-0.006	0.002	0.033	0.017	-0.008	-0.008	0.006	0.03	0.024	0	0.005	-0.007	0.031	-0.024	0.003	-0.007	-0.004	-0.017	-0.031	0.005	-0.011	0.005	-0.015	-0.029	-0.01	-0.004	0	129.514	337	52.857	75.371	47.314	3102.771	140.914	-16.886	157.8	50.343	40.486	91.971	12.514	394.514	41.457	21.486	18.514	116.371	73.143	108.229	94.771	174.55	10	169.37	49.67	34.829	0.079	0.056	-0.179	-0.045	0.061	0.013	-0.012	-0.006	0	0.002	-0.006	-0.012	-0.006	0.004	0.007	0	-0.015	-0.002	0.013	0.008	0.845	0.002	0.488	0.003	0.004	0.003	0.002	0.001	0.001904616	0.002237629	0.000130018	0.00224178	0.002062831	0.00243503	0.000372199	0.001904616	0.471468318	-0.474468866	-0.28443501	14.42842957	-0.74529518	-21.97323482	0.570644166	0.001030363	0.546185677	0.015024472	0.580399913	0.664750527	-0.751119308	-0.208909464	-0.142147084	-0.263503737	0.068258639	0.66859185	-0.168060707	-1.471880025	-1.534612252	-2.066926887	0.000704719	0.001053067	6.73E-05	0.001904616	0.003944141	0.002506743	37191551.14	0.000410142	0.000690432	0.020660688	0.00013543	8.92E-06	3.28E-06	4.52E-06	0.000955816	0.000103747	1.76E-05	0.369926322	0.370867086	0.023178684	0.329798984	0.073876042	0.543171205	0.291469233	0.085279647	0.470538283	0.346706435	0.063803587	0.628919799	-0.040587462	-1.771804731	-3.425468509	-1.042365081	-1.826043285	14.42842957
