Num	Tribe	Genus	Species_Patton2015
1	Akodontini	Akodon	Akodon_aerosus
2	Akodontini	Akodon	Akodon_aerosus
3	Akodontini	Akodon	Akodon_aerosus
4	Akodontini	Akodon	Akodon_aerosus
5	Akodontini	Akodon	Akodon_aerosus
6	Akodontini	Akodon	Akodon_aerosus
7	Akodontini	Akodon	Akodon_aerosus
8	Akodontini	Akodon	Akodon_aerosus
9	Akodontini	Akodon	Akodon_aerosus
10	Akodontini	Akodon	Akodon_aerosus
11	Akodontini	Akodon	Akodon_aerosus
12	Akodontini	Akodon	Akodon_aerosus
13	Akodontini	Akodon	Akodon_aerosus
14	Akodontini	Akodon	Akodon_aerosus
15	Akodontini	Akodon	Akodon_aerosus
16	Akodontini	Akodon	Akodon_aerosus
17	Akodontini	Akodon	Akodon_aerosus
18	Akodontini	Akodon	Akodon_aerosus
19	Akodontini	Akodon	Akodon_aerosus
20	Akodontini	Akodon	Akodon_aerosus
21	Akodontini	Akodon	Akodon_aerosus
22	Akodontini	Akodon	Akodon_aerosus
23	Akodontini	Akodon	Akodon_aerosus
24	Akodontini	Akodon	Akodon_aerosus
25	Akodontini	Akodon	Akodon_aerosus
26	Akodontini	Akodon	Akodon_aerosus
27	Akodontini	Akodon	Akodon_aerosus
28	Akodontini	Akodon	Akodon_aerosus
29	Akodontini	Akodon	Akodon_aerosus
30	Akodontini	Akodon	Akodon_aerosus
31	Akodontini	Akodon	Akodon_aerosus
32	Akodontini	Akodon	Akodon_aerosus
33	Akodontini	Akodon	Akodon_aerosus
34	Akodontini	Akodon	Akodon_aerosus
35	Akodontini	Akodon	Akodon_aerosus
36	Akodontini	Akodon	Akodon_aerosus
37	Akodontini	Akodon	Akodon_aerosus
38	Akodontini	Akodon	Akodon_aerosus
39	Akodontini	Akodon	Akodon_aerosus
40	Akodontini	Akodon	Akodon_aerosus
41	Akodontini	Akodon	Akodon_aerosus
42	Akodontini	Akodon	Akodon_aerosus
43	Akodontini	Akodon	Akodon_aerosus
44	Akodontini	Akodon	Akodon_aerosus
45	Akodontini	Akodon	Akodon_aerosus
46	Akodontini	Akodon	Akodon_aerosus
47	Akodontini	Akodon	Akodon_aerosus
48	Akodontini	Akodon	Akodon_aerosus
49	Akodontini	Akodon	Akodon_aerosus
50	Akodontini	Akodon	Akodon_aerosus
51	Akodontini	Akodon	Akodon_aerosus
52	Akodontini	Akodon	Akodon_aerosus
53	Akodontini	Akodon	Akodon_aerosus
54	Akodontini	Akodon	Akodon_aerosus
55	Akodontini	Akodon	Akodon_aerosus
56	Akodontini	Akodon	Akodon_aerosus
