"","species.v","Freq"
"1","Abrawayaomys_ruschii",6
"2","Abrothrix_andina",4
"3","Abrothrix_jelskii",5
"4","Abrothrix_lanosa",6
"5","Abrothrix_longipilis",5
"6","Abrothrix_olivacea",10
"7","Aegialomys_xanthaeolus",17
"8","Aepeomys_lugens",13
"9","Akodon_aerosus",142
"10","Akodon_affinis",9
"11","Akodon_albiventer",88
"12","Akodon_azarae",101
"13","Akodon_boliviensis",45
"14","Akodon_budini",14
"15","Akodon_caenosus",13
"16","Akodon_cursor",94
"17","Akodon_dayi",30
"18","Akodon_dolores",19
"19","Akodon_fumeus",20
"20","Akodon_iniscatus",4
"21","Akodon_juninensis",20
"22","Akodon_kofordi",5
"23","Akodon_lindberghi",13
"24","Akodon_lutescens",8
"25","Akodon_mimus",11
"26","Akodon_mollis",48
"27","Akodon_montensis",81
"28","Akodon_mystax",32
"29","Akodon_orophilus",23
"30","Akodon_paranaensis",50
"31","Akodon_reigi",2
"32","Akodon_sanctipaulensis",14
"33","Akodon_serrensis",33
"34","Akodon_siberiae",7
"35","Akodon_simulator",25
"36","Akodon_spegazzinii",13
"37","Akodon_subfuscus",65
"38","Akodon_surdus",14
"39","Akodon_sylvanus",2
"40","Akodon_toba",36
"41","Akodon_torques",67
"42","Akodon_varius",10
"43","Andalgalomys_pearsoni",9
"44","Andinomys_edax",13
"45","Anotomys_leander",5
"46","Auliscomys_boliviensis",10
"47","Auliscomys_pictus",8
"48","Auliscomys_sublimis",11
"49","Blarinomys_breviceps",1
"50","Brucepattersonius_iheringi",3
"51","Brucepattersonius_soricinus",1
"52","Calomys_callosus",13
"53","Calomys_laucha",6
"54","Calomys_lepidus",5
"55","Calomys_musculinus",9
"56","Calomys_sorellus",8
"57","Calomys_venustus",2
"58","Cerradomys_langguthi",3
"59","Cerradomys_maracajuensis",11
"60","Cerradomys_scotti",5
"61","Chelemys_megalonyx",2
"62","Chibchanomys_trichotis",2
"63","Chilomys_instans",10
"64","Chinchillula_sahamae",11
"65","Delomys_dorsalis",5
"66","Delomys_sublineatus",6
"67","Deltamys_kempi",16
"68","Eligmodontia_morgani",10
"69","Eremoryzomys_polius",7
"70","Euneomys_chinchilloides",8
"71","Euneomys_petersoni",6
"72","Euryoryzomys_legatus",6
"73","Euryoryzomys_macconnelli",8
"74","Euryoryzomys_nitidus",8
"75","Euryoryzomys_russatus",10
"76","Galenomys_garleppii",7
"77","Geoxus_valdivianus",16
"78","Graomys_domorum",6
"79","Graomys_griseoflavus",19
"80","Handleyomys_alfaroi",17
"81","Handleyomys_intectus",5
"82","Holochilus_brasiliensis",9
"83","Holochilus_sciureus",5
"84","Hylaeamys_megacephalus",9
"85","Hylaeamys_oniscus",1
"86","Hylaeamys_perenensis",10
"87","Hylaeamys_yunganus",8
"88","Ichthyomys_hydrobates",9
"89","Ichthyomys_pittieri",2
"90","Ichthyomys_tweedii",7
"91","Irenomys_tarsalis",24
"92","Juliomys_pictipes",1
"93","Juscelinomys_huanchacae",7
"94","Kunsia_tomentosus",4
"95","Lenoxus_apicalis",16
"96","Loxodontomys_micropus",24
"97","Lundomys_molitor",5
"98","Melanomys_caliginosus",15
"99","Melanomys_robustulus",3
"100","Melanomys_zunigae",3
"101","Microryzomys_altissimus",8
"102","Microryzomys_minutus",18
"103","Neacomys_guianae",1
"104","Neacomys_spinosus",21
"105","Neacomys_tenuipes",6
"106","Necromys_amoenus",8
"107","Necromys_lactens",2
"108","Necromys_lasiurus",11
"109","Necromys_lenguarum",10
"110","Necromys_obscurus",1
"111","Necromys_urichi",6
"112","Nectomys_apicalis",13
"113","Nectomys_rattus",9
"114","Nectomys_squamipes",10
"115","Neomicroxus_bogotensis",24
"116","Neotomys_ebriosus",15
"117","Nephelomys_albigularis",9
"118","Nephelomys_auriventer",1
"119","Nephelomys_devius",9
"120","Nephelomys_keaysi",7
